odor,gill-size,gill-color,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-type,spore-print-color,class
n,b,p,s,s,g,p,p,k,e
n,b,k,s,f,w,w,e,n,e
n,b,w,s,s,g,w,p,k,e
n,b,h,s,s,w,w,e,n,e
n,b,h,f,f,w,w,e,k,e
n,b,p,f,s,w,w,e,k,e
n,b,k,s,f,w,w,e,k,e
n,b,p,s,s,w,p,p,n,e
n,b,k,s,f,w,w,e,n,e
n,b,h,f,s,w,w,e,k,e
n,b,p,s,f,w,w,e,n,e
p,n,k,s,s,w,w,p,n,p
n,b,k,s,f,w,w,e,k,e
a,b,p,s,y,w,w,p,n,e
n,b,n,s,s,g,p,p,k,e
n,b,n,s,s,w,w,e,n,e
n,b,h,f,s,w,w,e,n,e
p,n,p,s,s,w,w,p,n,p
n,b,h,f,f,w,w,e,k,e
n,b,p,s,s,w,w,e,k,e
n,b,n,s,s,w,w,e,k,e
n,b,n,s,s,w,w,e,n,e
n,b,k,f,f,w,w,e,k,e
n,b,p,s,f,w,w,e,k,e
n,b,n,f,f,w,w,e,n,e
n,b,n,s,f,w,w,e,n,e
n,b,k,f,s,w,w,e,n,e
n,b,h,s,f,w,w,e,k,e
l,b,g,s,s,w,w,p,n,e
n,b,n,f,s,w,w,e,k,e
n,b,h,f,f,w,w,e,n,e
n,b,k,f,s,w,w,e,k,e
p,n,w,s,s,w,w,p,n,p
n,b,p,s,f,w,w,e,k,e
n,b,n,s,s,g,p,p,n,e
n,b,n,s,s,w,w,e,n,e
n,b,n,s,f,w,w,e,k,e
n,b,n,s,s,w,w,e,n,e
n,b,p,s,s,w,w,e,n,e
n,b,h,f,f,w,w,e,k,e
l,b,n,s,y,w,w,p,k,e
p,n,p,s,s,w,w,p,k,p
n,b,p,s,f,w,w,e,n,e
n,b,p,s,s,w,w,p,k,e
p,n,w,s,s,w,w,p,k,p
p,n,p,s,s,w,w,p,k,p
p,n,p,s,s,w,w,p,n,p
n,b,u,s,s,g,p,p,k,e
l,b,g,s,s,w,w,p,k,e
p,n,k,s,s,w,w,p,k,p
n,b,p,s,f,w,w,e,k,e
n,b,n,f,s,w,w,e,n,e
n,b,n,s,s,g,p,p,k,e
n,b,h,f,s,w,w,e,k,e
n,b,p,s,s,w,w,e,k,e
n,b,n,f,f,w,w,e,n,e
p,n,p,s,s,w,w,p,n,p
p,n,w,s,s,w,w,p,k,p
n,b,p,s,f,w,w,e,k,e
n,b,p,f,f,w,w,e,n,e
n,b,n,s,s,p,g,p,k,e
n,b,k,f,s,w,w,e,n,e
n,b,h,f,s,w,w,e,k,e
p,n,k,s,s,w,w,p,n,p
n,b,n,f,f,w,w,e,n,e
p,n,p,s,s,w,w,p,n,p
n,b,n,f,f,w,w,e,k,e
n,b,p,f,f,w,w,e,k,e
n,b,n,s,s,w,w,e,n,e
n,b,n,s,s,p,p,p,n,e
n,b,h,f,s,w,w,e,n,e
p,n,k,s,s,w,w,p,n,p
n,b,p,s,s,w,g,p,n,e
n,b,n,f,f,w,w,e,k,e
n,b,k,f,s,w,w,e,k,e
a,n,n,s,s,w,w,p,u,e
n,b,p,f,f,w,w,e,n,e
n,b,p,s,s,g,w,p,k,e
n,b,n,s,s,g,g,p,n,e
a,n,p,s,s,w,w,p,u,e
n,b,h,s,s,w,w,e,k,e
n,b,n,s,s,w,w,e,k,e
n,b,u,s,s,g,w,p,n,e
n,b,p,f,f,w,w,e,k,e
p,n,n,s,s,w,w,p,k,p
n,b,p,s,f,w,w,e,n,e
n,b,h,s,s,w,w,e,n,e
n,b,k,s,f,w,w,e,n,e
n,b,p,f,f,w,w,e,k,e
n,b,k,f,f,w,w,e,n,e
p,n,p,s,s,w,w,p,k,p
n,b,k,f,s,w,w,e,n,e
n,b,k,f,f,w,w,e,n,e
n,b,n,f,s,w,w,e,k,e
n,b,p,s,s,w,w,e,k,e
n,b,k,s,s,w,w,e,k,e
l,b,n,s,y,w,w,p,k,e
p,n,n,s,s,w,w,p,k,p
n,b,p,s,f,w,w,e,k,e
n,b,k,f,f,w,w,e,k,e
n,b,h,s,f,w,w,e,n,e
p,n,p,s,s,w,w,p,n,p
n,b,p,f,s,w,w,e,k,e
p,n,p,s,s,w,w,p,n,p
n,b,n,f,s,w,w,e,k,e
n,b,p,f,s,w,w,e,k,e
n,b,n,s,s,w,w,e,k,e
n,b,n,s,s,w,w,e,k,e
n,b,h,s,f,w,w,e,n,e
n,b,p,s,f,w,w,e,n,e
n,b,k,s,f,w,w,e,k,e
n,b,p,s,f,w,w,e,k,e
n,b,p,s,s,w,w,e,n,e
a,b,n,s,s,w,w,p,k,e
n,b,k,s,f,w,w,e,n,e
n,b,h,s,s,w,w,e,k,e
n,b,n,f,f,w,w,e,n,e
n,b,p,s,s,p,p,p,n,e
p,n,w,s,s,w,w,p,k,p
n,b,p,s,s,p,g,p,n,e
n,b,h,f,f,w,w,e,n,e
n,b,p,s,s,w,p,p,k,e
n,b,n,f,s,w,w,e,n,e
n,b,k,s,s,w,w,e,k,e
n,b,h,s,s,w,w,e,k,e
a,b,g,s,s,w,w,p,k,e
a,n,p,s,s,w,w,p,u,e
n,b,n,f,f,w,w,e,n,e
n,b,h,s,f,w,w,e,n,e
n,b,n,s,f,w,w,e,n,e
a,b,g,s,s,w,w,p,k,e
n,b,h,f,f,w,w,e,k,e
l,b,n,s,s,w,w,p,n,e
n,b,n,s,f,w,w,e,k,e
n,b,k,s,s,w,w,e,n,e
n,b,n,f,f,w,w,e,n,e
n,b,n,s,f,w,w,e,n,e
n,b,n,f,f,w,w,e,n,e
n,b,w,s,s,w,w,p,n,e
n,b,n,f,f,w,w,e,k,e
a,b,g,s,s,w,w,p,k,e
n,b,n,f,f,w,w,e,k,e
p,n,n,s,s,w,w,p,k,p
n,b,h,s,s,w,w,e,n,e
p,n,n,s,s,w,w,p,n,p
n,b,h,s,s,w,w,e,k,e
n,b,k,f,f,w,w,e,n,e
p,n,p,s,s,w,w,p,n,p
n,b,p,f,f,w,w,e,k,e
p,n,p,s,s,w,w,p,n,p
n,b,p,f,f,w,w,e,n,e
n,b,p,s,s,w,w,e,k,e
p,n,w,s,s,w,w,p,n,p
n,b,n,s,s,w,w,e,k,e
n,b,h,s,s,w,w,e,k,e
n,b,p,f,f,w,w,e,n,e
n,b,p,f,s,w,w,e,k,e
n,b,u,s,s,g,g,p,k,e
p,n,k,s,s,w,w,p,k,p
n,b,k,f,s,w,w,e,k,e
a,b,w,s,y,w,w,p,k,e
n,b,h,s,s,w,w,e,n,e
n,b,k,f,f,w,w,e,k,e
l,b,g,s,s,w,w,p,k,e
n,b,k,s,f,w,w,e,k,e
n,b,n,f,f,w,w,e,k,e
n,b,h,s,s,w,w,e,n,e
p,n,w,s,s,w,w,p,n,p
n,b,h,s,f,w,w,e,n,e
a,b,w,s,s,w,w,p,k,e
n,b,p,s,f,w,w,e,n,e
n,b,h,s,f,w,w,e,k,e
n,b,h,f,s,w,w,e,n,e
n,b,p,s,f,w,w,e,k,e
n,b,p,f,s,w,w,e,k,e
n,b,p,s,s,p,g,p,n,e
l,b,g,s,s,w,w,p,n,e
n,b,n,s,s,g,w,p,n,e
p,n,p,s,s,w,w,p,k,p
n,b,h,s,s,w,w,e,n,e
p,n,k,s,s,w,w,p,k,p
n,b,n,s,f,w,w,e,n,e
n,b,k,s,f,w,w,e,k,e
n,b,k,s,f,w,w,e,k,e
n,b,n,f,s,w,w,e,n,e
n,b,n,f,f,w,w,e,n,e
l,b,g,s,s,w,w,p,k,e
n,b,k,s,f,w,w,e,k,e
n,b,k,f,s,w,w,e,k,e
p,n,p,s,s,w,w,p,k,p
n,b,n,s,f,w,w,e,k,e
p,n,n,s,s,w,w,p,k,p
n,b,n,s,s,w,w,e,k,e
n,b,p,s,s,p,w,p,k,e
n,b,k,s,f,w,w,e,k,e
p,n,w,s,s,w,w,p,n,p
n,b,h,s,f,w,w,e,k,e
p,n,w,s,s,w,w,p,n,p
n,b,p,s,s,g,g,p,n,e
n,b,p,f,s,w,w,e,n,e
a,b,n,s,y,w,w,p,n,e
n,b,h,f,f,w,w,e,k,e
n,b,p,s,f,w,w,e,n,e
n,b,n,f,s,w,w,e,n,e
n,b,p,f,f,w,w,e,k,e
n,b,n,s,f,w,w,e,n,e
n,b,n,f,f,w,w,e,k,e
n,b,k,f,f,w,w,e,n,e
n,b,w,s,s,w,w,p,n,e
n,b,p,f,s,w,w,e,k,e
n,b,p,f,s,w,w,e,k,e
l,b,w,s,y,w,w,p,n,e
n,b,n,s,s,p,g,p,k,e
n,b,k,f,f,w,w,e,k,e
n,b,k,s,f,w,w,e,n,e
n,b,h,f,f,w,w,e,n,e
n,b,p,s,s,w,w,e,k,e
n,b,n,s,f,w,w,e,k,e
n,b,k,s,s,w,w,e,k,e
n,b,n,s,s,w,w,e,n,e
n,b,p,s,s,w,w,p,n,e
n,b,k,f,f,w,w,e,n,e
n,b,k,f,s,w,w,e,k,e
n,b,p,f,f,w,w,e,n,e
n,n,p,s,s,w,w,p,k,e
p,n,p,s,s,w,w,p,k,p
p,n,p,s,s,w,w,p,n,p
n,b,u,s,s,w,g,p,k,e
n,b,n,f,s,w,w,e,n,e
n,b,k,s,s,w,w,e,n,e
n,b,h,s,s,w,w,e,n,e
n,b,h,f,f,w,w,e,n,e
n,b,h,s,s,w,w,e,k,e
n,b,n,f,f,w,w,e,k,e
n,b,p,s,f,w,w,e,n,e
n,b,n,s,f,w,w,e,k,e
n,b,n,s,s,p,p,p,k,e
p,n,k,s,s,w,w,p,n,p
n,b,h,f,s,w,w,e,n,e
n,b,n,s,s,w,g,p,n,e
p,n,k,s,s,w,w,p,n,p
p,n,k,s,s,w,w,p,k,p
p,n,n,s,s,w,w,p,k,p
n,b,h,s,f,w,w,e,n,e
n,b,h,f,s,w,w,e,n,e
n,b,h,f,f,w,w,e,k,e
n,b,h,s,f,w,w,e,k,e
n,b,k,s,f,w,w,e,k,e
p,n,p,s,s,w,w,p,n,p
p,n,n,s,s,w,w,p,k,p
n,b,p,f,f,w,w,e,n,e
n,b,k,f,s,w,w,e,k,e
n,b,h,f,f,w,w,e,n,e
n,b,w,s,s,w,g,p,k,e
n,b,n,s,s,g,w,p,n,e
n,b,p,f,s,w,w,e,k,e
n,b,n,f,s,w,w,e,n,e
n,b,k,f,f,w,w,e,k,e
l,b,n,s,s,w,w,p,n,e
n,b,n,f,f,w,w,e,n,e
n,b,h,s,f,w,w,e,n,e
n,b,n,s,s,w,w,e,n,e
n,b,p,f,s,w,w,e,n,e
n,b,n,s,s,w,w,e,n,e
n,b,h,f,f,w,w,e,k,e
n,b,h,f,s,w,w,e,n,e
n,b,p,s,f,w,w,e,k,e
n,b,p,s,s,w,w,e,n,e
n,b,n,f,f,w,w,e,k,e
n,b,p,s,s,w,w,e,n,e
n,b,h,s,s,w,w,e,k,e
n,b,n,s,s,w,w,e,n,e
n,b,h,f,s,w,w,e,k,e
n,b,p,s,f,w,w,e,k,e
a,b,g,s,s,w,w,p,k,e
l,b,n,s,s,w,w,p,k,e
n,b,p,s,f,w,w,e,k,e
p,n,k,s,s,w,w,p,k,p
n,b,k,s,f,w,w,e,n,e
p,n,w,s,s,w,w,p,k,p
n,b,n,s,s,p,g,p,n,e
p,n,w,s,s,w,w,p,k,p
l,b,g,s,s,w,w,p,n,e
l,b,n,s,s,w,w,p,n,e
l,b,n,s,y,w,w,p,n,e
n,b,n,s,f,w,w,e,n,e
n,b,p,f,s,w,w,e,k,e
n,b,p,s,s,w,w,e,k,e
n,b,n,f,s,w,w,e,k,e
n,b,h,f,f,w,w,e,n,e
n,b,n,s,s,w,w,e,k,e
n,b,n,f,f,w,w,e,k,e
l,b,n,s,s,w,w,p,n,e
n,b,p,s,s,w,w,e,k,e
l,b,w,s,s,w,w,p,k,e
p,n,n,s,s,w,w,p,k,p
n,b,p,f,f,w,w,e,k,e
n,b,h,f,f,w,w,e,k,e
n,b,n,s,s,w,w,e,n,e
n,b,h,f,s,w,w,e,n,e
n,b,p,s,s,g,w,p,n,e
n,b,n,s,s,g,g,p,k,e
a,b,n,s,y,w,w,p,n,e
n,b,w,s,s,p,p,p,k,e
n,b,p,f,f,w,w,e,n,e
n,b,h,f,s,w,w,e,k,e
n,b,n,s,f,w,w,e,n,e
n,b,k,f,s,w,w,e,n,e
n,b,n,f,f,w,w,e,k,e
n,b,n,f,s,w,w,e,n,e
n,b,k,s,s,w,w,e,n,e
n,b,k,s,f,w,w,e,n,e
n,b,w,s,s,w,g,p,k,e
n,b,k,s,s,w,w,e,n,e
n,b,n,f,s,w,w,e,k,e
p,n,w,s,s,w,w,p,k,p
n,b,n,s,s,p,w,p,k,e
n,b,p,f,f,w,w,e,k,e
n,b,n,s,f,w,w,e,k,e
p,n,n,s,s,w,w,p,n,p
n,b,k,s,s,w,w,e,k,e
n,b,n,s,s,w,w,p,k,e
n,b,p,f,f,w,w,e,k,e
n,b,h,f,f,w,w,e,k,e
n,b,w,s,s,g,p,p,n,e
n,b,h,s,f,w,w,e,n,e
n,b,p,s,f,w,w,e,n,e
n,b,u,s,s,p,p,p,k,e
l,b,w,s,s,w,w,p,k,e
l,b,k,s,s,w,w,p,n,e
n,b,p,f,s,w,w,e,n,e
n,b,k,s,s,w,w,e,k,e
n,b,n,f,f,w,w,e,k,e
n,b,p,f,s,w,w,e,k,e
n,b,h,s,f,w,w,e,n,e
n,b,n,s,f,w,w,e,n,e
a,b,g,s,s,w,w,p,n,e
p,n,k,s,s,w,w,p,k,p
n,b,k,s,f,w,w,e,k,e
n,b,k,f,s,w,w,e,k,e
a,b,n,s,y,w,w,p,k,e
n,b,n,f,f,w,w,e,n,e
n,b,k,f,s,w,w,e,n,e
p,n,n,s,s,w,w,p,k,p
n,b,n,f,f,w,w,e,k,e
n,b,p,f,s,w,w,e,n,e
p,n,n,s,s,w,w,p,k,p
n,b,p,s,s,w,w,e,n,e
n,b,p,f,s,w,w,e,k,e
n,b,u,s,s,g,p,p,k,e
n,b,p,f,s,w,w,e,k,e
p,n,p,s,s,w,w,p,n,p
n,b,h,s,f,w,w,e,k,e
n,b,h,s,s,w,w,e,n,e
n,b,p,f,f,w,w,e,n,e
n,b,n,f,f,w,w,e,k,e
l,b,w,s,y,w,w,p,n,e
p,n,w,s,s,w,w,p,n,p
n,b,p,s,s,w,w,e,n,e
n,n,p,s,s,w,w,p,k,e
p,n,w,s,s,w,w,p,n,p
n,b,n,s,f,w,w,e,n,e
n,b,k,f,f,w,w,e,n,e
a,b,n,s,y,w,w,p,n,e
n,b,h,f,f,w,w,e,n,e
n,b,h,f,f,w,w,e,k,e
p,n,n,s,s,w,w,p,n,p
n,b,h,f,s,w,w,e,k,e
n,b,k,s,s,w,w,e,n,e
n,b,n,s,s,w,w,e,k,e
n,b,p,s,s,p,p,p,n,e
n,b,k,f,f,w,w,e,k,e
n,b,n,f,s,w,w,e,k,e
n,b,k,f,f,w,w,e,k,e
n,b,h,s,s,w,w,e,n,e
n,b,n,s,s,w,w,p,k,e
n,b,p,f,f,w,w,e,n,e
p,n,n,s,s,w,w,p,n,p
n,b,n,s,f,w,w,e,n,e
n,b,k,s,s,w,w,e,n,e
n,b,p,s,s,w,g,p,k,e
a,b,p,s,y,w,w,p,n,e
n,b,k,f,f,w,w,e,k,e
n,b,h,f,s,w,w,e,k,e
n,b,k,s,s,w,w,e,k,e
a,b,k,s,s,w,w,p,n,e
n,b,p,s,s,g,w,p,k,e
n,b,p,s,s,w,w,e,k,e
n,b,n,f,s,w,w,e,k,e
p,n,n,s,s,w,w,p,n,p
p,n,k,s,s,w,w,p,k,p
n,b,p,s,s,w,w,e,k,e
n,n,n,s,s,w,w,p,n,e
n,b,p,f,f,w,w,e,k,e
n,b,k,f,s,w,w,e,k,e
p,n,w,s,s,w,w,p,k,p
a,b,k,s,s,w,w,p,n,e
n,b,h,f,f,w,w,e,k,e
p,n,n,s,s,w,w,p,k,p
n,b,h,f,f,w,w,e,k,e
n,b,k,s,f,w,w,e,n,e
n,b,n,f,s,w,w,e,k,e
p,n,n,s,s,w,w,p,n,p
n,b,k,f,f,w,w,e,k,e
n,b,h,f,s,w,w,e,n,e
n,b,p,s,s,w,w,e,n,e
n,b,p,f,f,w,w,e,n,e
p,n,k,s,s,w,w,p,k,p
n,b,p,s,f,w,w,e,n,e
n,b,p,f,s,w,w,e,n,e
p,n,k,s,s,w,w,p,k,p
n,b,p,s,f,w,w,e,k,e
n,b,w,s,s,w,g,p,n,e
n,b,h,s,f,w,w,e,n,e
n,b,u,s,s,w,p,p,k,e
n,b,p,s,s,p,w,p,n,e
n,b,n,s,s,p,g,p,n,e
n,b,p,s,s,p,p,p,k,e
n,b,h,f,s,w,w,e,n,e
n,b,u,s,s,p,p,p,n,e
n,b,p,s,s,g,p,p,k,e
n,b,p,f,s,w,w,e,n,e
p,n,n,s,s,w,w,p,n,p
n,b,n,s,s,g,w,p,k,e
p,n,n,s,s,w,w,p,k,p
a,b,n,s,s,w,w,p,n,e
n,b,h,s,s,w,w,e,k,e
a,b,g,s,s,w,w,p,n,e
f,b,h,k,k,n,b,l,h,p
n,b,k,f,s,w,w,e,n,e
n,b,p,f,f,w,w,e,n,e
n,b,p,s,s,g,g,p,k,e
n,b,h,s,s,w,w,e,k,e
n,b,h,s,f,w,w,e,k,e
p,n,p,s,s,w,w,p,k,p
n,b,p,s,s,p,g,p,n,e
l,b,k,s,s,w,w,p,n,e
n,b,n,f,s,w,w,e,k,e
n,b,n,s,s,w,g,p,n,e
n,b,n,s,s,w,w,e,k,e
n,b,p,f,s,w,w,e,n,e
n,b,n,s,s,w,p,p,k,e
n,b,w,s,s,w,g,p,n,e
n,b,u,s,s,g,w,p,k,e
n,b,n,f,s,w,w,e,n,e
n,b,u,s,s,p,w,p,k,e
n,b,u,s,s,g,g,p,n,e
n,b,w,s,s,g,w,p,n,e
n,b,w,s,s,p,g,p,n,e
n,b,h,f,f,w,w,e,n,e
n,b,p,s,s,p,w,p,k,e
n,b,n,s,f,w,w,e,k,e
n,b,h,f,s,w,w,e,k,e
n,b,p,s,s,w,w,e,n,e
n,b,p,s,s,w,p,p,k,e
p,n,k,s,s,w,w,p,n,p
n,b,p,s,s,p,g,p,k,e
n,b,p,s,f,w,w,e,k,e
n,b,h,f,s,w,w,e,n,e
n,b,w,s,s,g,p,p,n,e
n,b,p,s,s,p,w,p,k,e
n,b,w,s,s,g,w,p,k,e
n,b,n,s,s,w,p,p,k,e
n,b,h,f,s,w,w,e,n,e
n,b,w,s,s,w,g,p,n,e
n,b,p,s,s,w,p,p,k,e
n,b,u,s,s,w,w,p,k,e
n,b,n,s,s,p,w,p,n,e
a,n,w,s,s,w,w,p,n,e
n,b,w,s,s,g,g,p,n,e
p,n,w,s,s,w,w,p,n,p
n,b,h,f,f,w,w,e,k,e
n,b,u,s,s,g,g,p,n,e
n,b,w,s,s,p,p,p,k,e
n,b,h,f,s,w,w,e,k,e
n,b,w,s,s,p,w,p,n,e
n,b,n,s,s,w,w,e,n,e
n,b,w,s,s,p,g,p,n,e
n,b,u,s,s,p,w,p,n,e
n,b,p,f,s,w,w,e,k,e
n,b,n,s,f,w,w,e,k,e
n,b,n,s,s,w,w,e,k,e
n,b,n,s,f,w,w,e,k,e
n,b,n,s,s,p,g,p,n,e
n,b,n,s,f,w,w,e,k,e
n,b,k,s,s,w,w,e,k,e
n,b,w,s,s,g,g,p,n,e
n,b,p,s,s,p,w,p,n,e
n,b,u,s,s,w,w,p,n,e
n,b,p,s,s,w,g,p,k,e
n,b,h,s,s,w,w,e,n,e
n,b,n,s,s,w,w,e,k,e
n,b,h,s,f,w,w,e,k,e
n,b,k,s,s,w,w,e,n,e
n,b,u,s,s,g,p,p,n,e
n,b,u,s,s,g,g,p,n,e
n,b,w,s,s,g,p,p,k,e
l,n,p,s,s,w,w,p,n,e
n,b,k,f,f,w,w,e,k,e
p,n,n,s,s,w,w,p,k,p
n,b,n,s,s,g,g,p,k,e
n,b,w,s,s,w,g,p,n,e
n,b,k,f,f,w,w,e,n,e
n,b,h,f,f,w,w,e,n,e
n,b,h,s,s,w,w,e,n,e
n,b,n,s,s,w,w,e,n,e
n,b,h,s,s,w,w,e,n,e
n,b,w,s,s,g,g,p,n,e
n,b,u,s,s,p,p,p,n,e
n,b,k,f,f,w,w,e,n,e
n,b,n,f,f,w,w,e,k,e
n,b,p,f,s,w,w,e,n,e
n,b,n,s,s,p,w,p,k,e
n,b,h,f,f,w,w,e,n,e
n,b,k,s,f,w,w,e,n,e
n,b,h,f,s,w,w,e,k,e
n,b,k,s,s,w,w,e,n,e
n,b,k,s,s,w,w,e,n,e
n,b,p,f,f,w,w,e,k,e
n,b,w,s,s,w,p,p,n,e
n,b,h,s,f,w,w,e,k,e
n,b,n,f,f,w,w,e,n,e
n,b,p,s,s,g,w,p,k,e
n,b,u,s,s,g,g,p,k,e
n,b,n,s,s,g,p,p,k,e
n,b,h,s,s,w,w,e,k,e
n,b,p,f,s,w,w,e,n,e
l,b,p,s,y,w,w,p,n,e
p,n,w,s,s,w,w,p,k,p
n,b,h,f,f,w,w,e,k,e
n,b,k,s,f,w,w,e,k,e
n,b,p,s,s,g,w,p,k,e
n,b,u,s,s,g,w,p,k,e
n,b,p,s,s,w,w,e,n,e
n,b,n,f,s,w,w,e,k,e
n,b,h,f,f,w,w,e,n,e
n,b,w,s,s,g,w,p,n,e
n,b,w,s,s,g,w,p,k,e
n,b,p,s,f,w,w,e,k,e
n,b,p,s,f,w,w,e,k,e
n,b,h,s,f,w,w,e,k,e
n,b,p,s,s,w,w,e,k,e
p,n,w,s,s,w,w,p,k,p
a,b,k,s,s,w,w,p,n,e
n,b,w,s,s,g,w,p,n,e
n,b,k,f,f,w,w,e,k,e
n,b,k,f,s,w,w,e,n,e
n,b,k,s,f,w,w,e,n,e
l,n,n,s,s,w,w,p,u,e
n,b,h,s,s,w,w,e,n,e
n,b,h,f,s,w,w,e,k,e
n,b,k,f,s,w,w,e,k,e
n,b,p,s,s,w,p,p,k,e
n,b,n,s,s,g,p,p,k,e
n,b,n,s,s,w,w,p,k,e
n,b,k,s,s,w,w,e,k,e
n,b,n,f,s,w,w,e,n,e
p,n,k,s,s,w,w,p,n,p
n,b,p,f,f,w,w,e,n,e
n,b,w,s,s,g,g,p,n,e
n,b,n,s,s,g,g,p,n,e
n,b,p,s,s,w,w,e,n,e
n,b,w,s,s,p,p,p,n,e
n,b,u,s,s,p,p,p,n,e
n,b,p,s,s,g,p,p,k,e
n,b,u,s,s,p,w,p,n,e
n,b,p,s,s,p,g,p,k,e
p,n,p,s,s,w,w,p,k,p
n,b,k,s,s,w,w,e,k,e
n,b,w,s,s,p,p,p,n,e
n,b,p,s,s,w,g,p,n,e
p,n,w,s,s,w,w,p,n,p
n,b,u,s,s,w,g,p,k,e
n,b,h,s,f,w,w,e,k,e
n,b,u,s,s,g,g,p,k,e
n,b,k,f,s,w,w,e,n,e
n,b,h,f,f,w,w,e,n,e
n,b,p,s,s,w,w,e,k,e
n,b,w,s,s,w,g,p,n,e
n,b,k,f,f,w,w,e,k,e
n,b,n,s,s,p,p,p,n,e
n,b,h,s,s,w,w,e,k,e
n,b,k,f,f,w,w,e,k,e
n,b,h,s,f,w,w,e,n,e
p,n,w,s,s,w,w,p,k,p
n,b,p,s,s,w,w,p,k,e
n,b,k,f,s,w,w,e,n,e
p,n,n,s,s,w,w,p,n,p
n,b,n,s,s,p,g,p,n,e
n,b,u,s,s,w,p,p,n,e
n,b,p,f,f,w,w,e,n,e
n,b,p,s,s,g,g,p,k,e
n,b,p,s,s,w,w,e,n,e
n,b,h,f,f,w,w,e,k,e
l,b,k,s,s,w,w,p,k,e
n,b,p,f,s,w,w,e,n,e
n,b,u,s,s,p,g,p,n,e
n,b,n,s,s,g,w,p,k,e
n,b,n,f,s,w,w,e,n,e
p,n,n,s,s,w,w,p,n,p
n,b,w,s,s,w,p,p,n,e
p,n,n,s,s,w,w,p,k,p
p,n,w,s,s,w,w,p,n,p
n,b,p,s,s,p,p,p,n,e
n,b,h,s,f,w,w,e,n,e
n,b,p,s,s,g,w,p,n,e
n,b,h,s,f,w,w,e,k,e
n,b,w,s,s,p,g,p,n,e
n,b,p,f,s,w,w,e,n,e
n,b,p,s,f,w,w,e,k,e
n,b,k,f,f,w,w,e,k,e
n,b,k,s,f,w,w,e,k,e
n,b,w,s,s,g,g,p,n,e
n,b,u,s,s,g,w,p,n,e
n,b,k,f,f,w,w,e,k,e
n,b,w,s,s,g,g,p,k,e
p,n,w,s,s,w,w,p,n,p
l,b,n,s,y,w,w,p,n,e
p,n,p,s,s,w,w,p,k,p
n,b,h,f,s,w,w,e,n,e
n,b,n,f,f,w,w,e,k,e
p,n,w,s,s,w,w,p,n,p
n,b,k,f,f,w,w,e,n,e
n,b,n,s,f,w,w,e,k,e
n,b,u,s,s,g,w,p,k,e
n,b,k,s,s,w,w,e,k,e
n,b,k,s,s,w,w,e,n,e
n,b,p,f,s,w,w,e,n,e
n,b,h,f,s,w,w,e,k,e
a,n,n,s,s,w,w,p,n,e
a,n,n,s,s,w,w,p,n,e
n,b,p,s,f,w,w,e,n,e
n,b,u,s,s,w,w,p,n,e
n,b,n,s,s,g,p,p,k,e
n,b,u,s,s,w,g,p,n,e
n,b,k,s,f,w,w,e,k,e
n,b,u,s,s,w,w,p,n,e
n,b,n,s,s,p,p,p,k,e
n,b,p,f,s,w,w,e,k,e
n,b,n,s,s,w,p,p,n,e
n,b,h,f,f,w,w,e,k,e
l,b,k,s,s,w,w,p,k,e
n,b,u,s,s,w,p,p,k,e
n,b,h,s,f,w,w,e,n,e
n,b,w,s,s,p,p,p,k,e
n,b,p,s,s,g,g,p,k,e
n,b,u,s,s,p,g,p,k,e
n,b,p,s,s,w,w,e,n,e
n,b,k,f,s,w,w,e,k,e
n,b,p,f,f,w,w,e,n,e
n,b,n,s,s,w,w,e,k,e
n,b,w,s,s,w,p,p,k,e
n,b,w,s,s,p,w,p,n,e
n,b,n,s,s,p,w,p,k,e
n,b,k,f,f,w,w,e,n,e
n,b,n,s,f,w,w,e,n,e
n,b,n,s,s,w,w,e,k,e
a,b,p,s,y,w,w,p,n,e
n,b,u,s,s,w,p,p,n,e
n,b,h,f,s,w,w,e,k,e
n,b,p,s,s,w,g,p,k,e
n,b,n,s,s,w,p,p,n,e
n,b,k,f,s,w,w,e,n,e
a,b,k,s,s,w,w,p,k,e
n,b,p,s,s,w,w,e,n,e
n,b,p,s,s,w,w,e,n,e
n,b,u,s,s,g,w,p,n,e
n,b,k,f,f,w,w,e,k,e
n,b,u,s,s,g,p,p,n,e
n,b,p,s,s,w,g,p,n,e
n,b,p,s,f,w,w,e,n,e
a,b,n,s,s,w,w,p,k,e
n,b,n,f,s,w,w,e,n,e
p,n,n,s,s,w,w,p,n,p
n,b,p,f,s,w,w,e,n,e
n,b,n,s,s,p,w,p,n,e
n,b,n,s,f,w,w,e,n,e
n,b,u,s,s,p,w,p,k,e
n,b,p,s,s,p,p,p,n,e
p,n,n,s,s,w,w,p,k,p
n,b,p,s,s,w,w,e,n,e
n,b,n,s,s,w,g,p,k,e
n,b,n,s,s,g,p,p,k,e
n,b,n,s,s,w,g,p,k,e
n,b,w,s,s,p,p,p,n,e
n,b,u,s,s,p,g,p,k,e
p,n,p,s,s,w,w,p,n,p
l,b,k,s,s,w,w,p,k,e
n,b,n,s,s,p,p,p,n,e
n,b,w,s,s,w,w,p,n,e
n,b,n,f,f,w,w,e,n,e
n,b,u,s,s,w,p,p,n,e
n,b,k,f,s,w,w,e,n,e
n,b,p,f,s,w,w,e,n,e
n,b,n,s,s,g,g,p,n,e
n,b,u,s,s,w,p,p,n,e
